X-cord,Y-cord
14.96,41.76
25.18,62.96
5.11,39.4
20.86,57.32
10.82,37.5
26.27,59.44
15.89,43.96
9.48,44.71
14.64,45
11.74,43.56
17.99,43.72
20.14,46.93
24.34,73.5
25.71,58.59
26.19,69.34
21.42,43.79
18.21,45
11.04,41.74
14.45,52.75
13.97,38.47
17.76,42.42
5.41,40.07
7.76,42.28
27.23,63.9
27.36,48.6
27.47,70.72
14.6,39.31
7.91,39.96
5.81,35.79
30.53,65.18
23.87,63.94
26.09,58.41
29.27,66.85
27.38,74.16
24.81,63.94
12.75,44.03
24.66,63.73
16.38,47.45
13.91,39.35
23.18,51.3
22.47,47.45
13.39,44.85
9.28,41.54
11.82,42.86
10.27,40.64
22.92,63.94
16,37.87
21.22,43.43
13.46,44.71
9.39,40.11
31.07,73.5
12.82,38.62
32.57,78.92
8.11,42.18
13.92,39.39
23.04,59.43
27.31,64.44
5.91,39.33
25.26,61.08
27.97,58.84
26.08,52.3
29.01,65.71
12.18,40.1
13.76,45.87
25.5,58.79
28.26,65.34
21.39,62.96
7.26,40.69
10.54,34.03
27.71,74.34
23.11,68.3
7.51,41.01
26.46,74.67
29.34,74.34
10.32,42.28
22.74,61.02
13.48,39.85
25.52,69.75
21.58,67.25
27.66,76.86
26.96,69.45
12.29,42.18
15.86,43.02
13.87,45.08
24.09,73.68
20.45,69.45
15.07,39.3
32.72,69.75
18.23,58.96
35.56,68.94
18.36,51.43
26.35,64.05
25.92,60.95
8.01,41.66
19.63,52.72
20.02,67.32
10.08,40.72
27.23,66.48
23.37,63.77
18.74,59.21
14.81,43.69
23.1,51.3
10.72,41.38
29.46,71.94
8.1,40.64
27.29,62.66
17.1,49.69
11.49,44.2
23.69,65.59
13.51,40.89
9.64,39.35
25.65,78.92
21.59,61.87
27.98,58.33
18.8,39.72
18.28,44.71
13.55,43.48
22.99,46.21
23.94,59.39
13.74,34.03
21.3,41.1
27.54,66.93
24.81,63.73
4.97,42.85
15.22,50.88
23.88,54.2
33.01,68.67
25.98,73.18
28.18,73.88
21.67,60.84
17.67,45.09
21.37,57.76
28.69,67.25
16.61,43.77
27.91,63.76
20.97,47.43
10.8,41.66
20.61,62.91
25.45,57.32
30.16,69.34
4.99,39.04
10.51,44.78
33.79,69.05
21.34,59.8
23.4,65.06
32.21,68.14
14.26,42.32
27.71,66.93
21.95,57.76
25.76,63.94
23.68,68.3
8.28,40.77
23.44,62.52
25.32,48.41
3.94,39.9
17.3,57.76
18.2,49.39
21.43,46.97
11.16,40.05
30.38,74.16
23.36,62.52
21.69,47.45
23.62,49.21
21.87,61.45
29.25,66.51
20.03,66.86
18.14,49.78
24.23,56.89
18.11,44.85
6.57,43.65
12.56,43.41
13.4,41.58
27.1,52.84
14.28,42.74
16.29,44.34
31.24,71.98
10.57,37.73
