,X-cord,Y-cord
0,-5000.0,-7479.347728036914
1,-4999.0,-9606.343019492968
2,-4998.0,-9039.256985527863
3,-4997.0,-10093.433496399834
4,-4996.0,-8139.069882886531
5,-4995.0,-8242.507149462568
6,-4994.0,-9110.108497793604
7,-4993.0,-7798.9869901585225
8,-4992.0,-7321.137953367097
9,-4991.0,-7296.241018420527
10,-4990.0,-7585.005817248711
11,-4989.0,-9013.149337708957
12,-4988.0,-7870.427570622138
13,-4987.0,-8099.833332391325
14,-4986.0,-8262.149818329037
15,-4985.0,-7295.016403739863
16,-4984.0,-7007.994705401521
17,-4983.0,-7648.176214542595
18,-4982.0,-9020.261066701798
19,-4981.0,-9791.851926568354
20,-4980.0,-8600.746841962271
21,-4979.0,-9974.807939435532
22,-4978.0,-7073.358801044646
23,-4977.0,-6692.243736280315
24,-4976.0,-9389.829941088712
25,-4975.0,-10441.624712394725
26,-4974.0,-7989.732867737706
27,-4973.0,-9747.192736926847
28,-4972.0,-8537.434877047457
29,-4971.0,-10172.013510413
30,-4970.0,-10272.986447794703
31,-4969.0,-9136.956875148779
32,-4968.0,-9928.323800802405
33,-4967.0,-7773.059749158935
34,-4966.0,-8303.663580446493
35,-4965.0,-7976.063482787626
36,-4964.0,-9494.340215922686
37,-4963.0,-10418.425167655683
38,-4962.0,-10560.68742426146
39,-4961.0,-10235.137084696988
40,-4960.0,-9423.945866499434
41,-4959.0,-10435.403236912487
42,-4958.0,-7468.798509017379
43,-4957.0,-8945.676457212223
44,-4956.0,-9849.97608723209
45,-4955.0,-7750.030417448967
46,-4954.0,-8382.483398638497
47,-4953.0,-7766.036803070389
48,-4952.0,-9865.405955835473
49,-4951.0,-8557.145786982785
50,-4950.0,-7844.7006589226185
51,-4949.0,-9675.662306210506
52,-4948.0,-7470.1471437697255
53,-4947.0,-10507.671998005308
54,-4946.0,-7309.066894537958
55,-4945.0,-7583.323801382759
56,-4944.0,-9954.964641381917
57,-4943.0,-7102.518146016128
58,-4942.0,-7266.620153954326
59,-4941.0,-7778.676277102381
60,-4940.0,-8568.93044729378
61,-4939.0,-8240.815922157582
62,-4938.0,-8149.05244815201
63,-4937.0,-10163.661014964398
64,-4936.0,-10247.070172886486
65,-4935.0,-6648.4566852891185
66,-4934.0,-8021.740745706559
67,-4933.0,-7522.430714092543
68,-4932.0,-8503.220892378966
69,-4931.0,-9930.686796733553
70,-4930.0,-8289.583341878604
71,-4929.0,-7833.696114058205
72,-4928.0,-7617.745600506539
73,-4927.0,-6761.740127481784
74,-4926.0,-9698.83621289171
75,-4925.0,-8216.804093836354
76,-4924.0,-7900.158305706799
77,-4923.0,-8768.987337148454
78,-4922.0,-10026.397919413897
79,-4921.0,-10275.383158592344
80,-4920.0,-9863.329745025534
81,-4919.0,-8827.753717575168
82,-4918.0,-8540.78331461021
83,-4917.0,-7899.148470204635
84,-4916.0,-7424.734306460317
85,-4915.0,-7676.610984108875
86,-4914.0,-8770.78309652532
87,-4913.0,-10216.908423434743
88,-4912.0,-10097.556064017093
89,-4911.0,-8405.435661176554
90,-4910.0,-7669.06371949049
91,-4909.0,-9230.694508102086
92,-4908.0,-7371.566338363624
93,-4907.0,-7568.942168439369
94,-4906.0,-8920.801727939901
95,-4905.0,-8664.641039520728
96,-4904.0,-8953.278255360367
97,-4903.0,-8363.210504021006
98,-4902.0,-8522.433045195126
99,-4901.0,-10486.43564711201
100,-4900.0,-9866.875165407957
101,-4899.0,-8147.958828660872
102,-4898.0,-9588.793735090398
103,-4897.0,-10433.446767059104
104,-4896.0,-7877.739638242388
105,-4895.0,-8404.791166878673
106,-4894.0,-7219.870324560813
107,-4893.0,-10438.698779019935
108,-4892.0,-10379.658228401211
109,-4891.0,-10355.34970584103
110,-4890.0,-10058.397961037646
111,-4889.0,-8472.673170071366
112,-4888.0,-9643.316373312597
113,-4887.0,-8788.47930761307
114,-4886.0,-7619.628399898051
115,-4885.0,-9139.307959719212
116,-4884.0,-7228.837673038586
117,-4883.0,-7654.391117386371
118,-4882.0,-6565.40199368213
119,-4881.0,-9181.443047870933
120,-4880.0,-8441.50581380274
121,-4879.0,-7169.4567542817185
122,-4878.0,-6706.633161792897
123,-4877.0,-6929.112260871669
124,-4876.0,-7513.86694730695
125,-4875.0,-6511.616533176653
126,-4874.0,-8865.733344944761
127,-4873.0,-9888.587678515334
128,-4872.0,-9438.71780550545
129,-4871.0,-9833.210753018346
130,-4870.0,-7464.132611068022
131,-4869.0,-9939.030311321781
132,-4868.0,-7049.29436682935
133,-4867.0,-10087.173400150277
134,-4866.0,-10388.247258584528
135,-4865.0,-7095.231343850681
136,-4864.0,-9942.351685461452
137,-4863.0,-6828.528677318247
138,-4862.0,-7492.696950716907
139,-4861.0,-9835.363924523197
140,-4860.0,-8555.799771431733
141,-4859.0,-7542.973014352668
142,-4858.0,-7119.7082642049945
143,-4857.0,-9836.833690420839
144,-4856.0,-8678.29254166793
145,-4855.0,-10258.302321599644
146,-4854.0,-9786.89604535582
147,-4853.0,-6947.079413331051
148,-4852.0,-9362.730000496242
149,-4851.0,-10107.949500597166
150,-4850.0,-7216.654868949505
